name,sku,model,height_cm,color,regular_price,cost_price
Діамант,ST-50-1,500-1,50,сірий,3699,2034
Зорепад,ST-50-2,500-2,50,чорний,3999,2220
Вишиванка або Піксель,ST-50-3,500-3,50,сірий,5199,2867
Тропіки,ST-50-4,500-4,50,зелений,3899,2163
Призма,ST-75-1,750-1,75,багровий,8199,4530
Мозаїка,ST-75-2,750-2,75,чорний,5999,3305
Арабеска,ST-75-3,750-3,75,зелений,6499,3588
Люмін,ST-75-4,750-4,75,сірий,5199,2891
1000-1,ST-100-1,1000-1,100,,5999,3285
Перо Фенікса,ST-100-2,1000-2,100,чорний,7199,3952
Лілія. Чорний,ST-100-3,1000-3,100,чорний,6699,3686
Лілія. Сірий,ST-100-4,,100,сірий,6699,3686
Олива,ST-100-5,1000-4,100,зелений,5999,3328
