name,sku,barcode,regular_price,stock,height_cm,color,status
Тестовий світильник 1,QA-00001,48200000001,3699,0,50,сірий,draft
Тестовий світильник 2,QA-00002,48200000002,4199,1,75,чорний,draft
Тестовий світильник 3,QA-00003,48200000003,4699,2,100,зелений,draft
Тестовий світильник 4,QA-00004,48200000004,5199,3,50,сірий,draft
Тестовий світильник 5,QA-00005,48200000005,5699,4,75,чорний,draft
Тестовий світильник 6,QA-00006,48200000006,3699,5,100,зелений,draft
Тестовий світильник 7,QA-00007,48200000007,4199,6,50,сірий,draft
Тестовий світильник 8,QA-00008,48200000008,4699,7,75,чорний,draft
Тестовий світильник 9,QA-00009,48200000009,5199,8,100,зелений,draft
Тестовий світильник 10,QA-00010,48200000010,5699,9,50,сірий,draft
Тестовий світильник 11,QA-00011,48200000011,3699,10,75,чорний,draft
Тестовий світильник 12,QA-00012,48200000012,4199,11,100,зелений,draft
Тестовий світильник 13,QA-00013,48200000013,4699,12,50,сірий,draft
Тестовий світильник 14,QA-00014,48200000014,5199,13,75,чорний,draft
Тестовий світильник 15,QA-00015,48200000015,5699,14,100,зелений,draft
Тестовий світильник 16,QA-00016,48200000016,3699,15,50,сірий,draft
Тестовий світильник 17,QA-00017,48200000017,4199,16,75,чорний,draft
Тестовий світильник 18,QA-00018,48200000018,4699,17,100,зелений,draft
Тестовий світильник 19,QA-00019,48200000019,5199,18,50,сірий,draft
Тестовий світильник 20,QA-00020,48200000020,5699,19,75,чорний,draft
Тестовий світильник 21,QA-00021,48200000021,3699,0,100,зелений,draft
Тестовий світильник 22,QA-00022,48200000022,4199,1,50,сірий,draft
Тестовий світильник 23,QA-00023,48200000023,4699,2,75,чорний,draft
Тестовий світильник 24,QA-00024,48200000024,5199,3,100,зелений,draft
Тестовий світильник 25,QA-00025,48200000025,5699,4,50,сірий,draft
Тестовий світильник 26,QA-00026,48200000026,3699,5,75,чорний,draft
Тестовий світильник 27,QA-00027,48200000027,4199,6,100,зелений,draft
Тестовий світильник 28,QA-00028,48200000028,4699,7,50,сірий,draft
Тестовий світильник 29,QA-00029,48200000029,5199,8,75,чорний,draft
Тестовий світильник 30,QA-00030,48200000030,5699,9,100,зелений,draft
Тестовий світильник 31,QA-00031,48200000031,3699,10,50,сірий,draft
Тестовий світильник 32,QA-00032,48200000032,4199,11,75,чорний,draft
Тестовий світильник 33,QA-00033,48200000033,4699,12,100,зелений,draft
Тестовий світильник 34,QA-00034,48200000034,5199,13,50,сірий,draft
Тестовий світильник 35,QA-00035,48200000035,5699,14,75,чорний,draft
Тестовий світильник 36,QA-00036,48200000036,3699,15,100,зелений,draft
Тестовий світильник 37,QA-00037,48200000037,4199,16,50,сірий,draft
Тестовий світильник 38,QA-00038,48200000038,4699,17,75,чорний,draft
Тестовий світильник 39,QA-00039,48200000039,5199,18,100,зелений,draft
Тестовий світильник 40,QA-00040,48200000040,5699,19,50,сірий,draft
Тестовий світильник 41,QA-00041,48200000041,3699,0,75,чорний,draft
Тестовий світильник 42,QA-00042,48200000042,4199,1,100,зелений,draft
Тестовий світильник 43,QA-00043,48200000043,4699,2,50,сірий,draft
Тестовий світильник 44,QA-00044,48200000044,5199,3,75,чорний,draft
Тестовий світильник 45,QA-00045,48200000045,5699,4,100,зелений,draft
Тестовий світильник 46,QA-00046,48200000046,3699,5,50,сірий,draft
Тестовий світильник 47,QA-00047,48200000047,4199,6,75,чорний,draft
Тестовий світильник 48,QA-00048,48200000048,4699,7,100,зелений,draft
Тестовий світильник 49,QA-00049,48200000049,5199,8,50,сірий,draft
Тестовий світильник 50,QA-00050,48200000050,5699,9,75,чорний,draft
Тестовий світильник 51,QA-00051,48200000051,3699,10,100,зелений,draft
Тестовий світильник 52,QA-00052,48200000052,4199,11,50,сірий,draft
Тестовий світильник 53,QA-00053,48200000053,4699,12,75,чорний,draft
Тестовий світильник 54,QA-00054,48200000054,5199,13,100,зелений,draft
Тестовий світильник 55,QA-00055,48200000055,5699,14,50,сірий,draft
Тестовий світильник 56,QA-00056,48200000056,3699,15,75,чорний,draft
Тестовий світильник 57,QA-00057,48200000057,4199,16,100,зелений,draft
Тестовий світильник 58,QA-00058,48200000058,4699,17,50,сірий,draft
Тестовий світильник 59,QA-00059,48200000059,5199,18,75,чорний,draft
Тестовий світильник 60,QA-00060,48200000060,5699,19,100,зелений,draft
Тестовий світильник 61,QA-00061,48200000061,3699,0,50,сірий,draft
